1,半角/全角,-----,Keyboard Grave Accent and Tilde,07,35
2,1 !,1 !,Keyboard 1 and !,07,1E
3,"2 ""","2 """,Keyboard 2 and @,07,1F
4,3 #,3 #,Keyboard 3 and #,07,20
5,4 $,4 $,Keyboard 4 and $,07,21
6,5 %,5 %,Keyboard 5 and %,07,22
7,6 &,6 &,Keyboard 6 and ^,07,23
8,7 ',7 ',Keyboard 7 and &,07,24
9,8 (,8 (,Keyboard 8 and *,07,25
10,9 ),9 ),Keyboard 9 and (,07,26
11,0,0,Keyboard 0 and ),07,27
12,- =,- =,Keyboard - and (underscore),07,2D
13,^ ~,^ ~,Keyboard = and +,07,2E
14,￥ ｜,￥ ｜,Keyboard International3,07,89
15,Backspace,Delete,Keyboard DELETE (Backspace),07,2A
16,Tab,Tab,Keyboard Tab,07,2B
17,Q,Q,Keyboard q and Q,07,14
18,W,W,Keyboard w and W,07,1A
19,E,E,Keyboard e and E,07,08
20,R,R,Keyboard r and R,07,15
21,T,T,Keyboard t and T,07,17
22,Y,Y,Keyboard y and Y,07,1C
23,U,U,Keyboard u and U,07,18
24,I,I,Keyboard i and I,07,0C
25,O,O,Keyboard o and O,07,12
26,P,P,Keyboard p and P,07,13
27,@ `,@ `,Keyboard [ and {,07,2F
28,[ {,[ {,Keyboard ] and },07,30
29,-----,-----,Keyboard ＼ and |,07,31
30,英数 Caps Lock,Caps Lock,Keyboard Caps Lock,07,39
31,A,A,Keyboard a and A,07,04
32,S,S,Keyboard s and S,07,16
33,D,D,Keyboard d and D,07,07
34,F,F,Keyboard f and F,07,09
35,G,G,Keyboard g and G,07,0A
36,H,H,Keyboard h and H,07,0B
37,J,J,Keyboard j and J,07,0D
38,K,K,Keyboard k and K,07,0E
39,L,L,Keyboard l and L,07,0F
40,; +,; +,Keyboard ; and :,07,33
41,: *,: *,Keyboard ‘ and “,07,34
42,] },] },Keyboard Non-US # and ~,07,32
43,Enter,Return,Keyboard Return (ENTER),07,28
44,Left Shift,Left Shift,Keyboard LeftShift,07,E1
